time,weight_g,baseline_g,solvent_used_g,voc_index,co2,pm2p5,flap_level,state
2026-08-19T04:32:57,820,820,0.0,110.0,660,2.8,0,low
2026-08-19T04:32:57,810,820,10,130.0,680,3.2,2,low
2026-08-19T04:32:57,790,820,30,170.0,720,4.2,9,low
2026-08-19T04:32:57,755,820,65,220.0,770,5.5,24,low
2026-08-19T04:32:57,710,820,110,290.0,840,7.2,46,medium
2026-08-19T04:32:57,665,820,155,360.0,910,9.0,67,high
2026-08-19T04:32:57,620,820,200,430.0,980,10.8,88,high
2026-08-19T04:32:57,700,820,120,280.0,830,7.0,45,medium
2026-08-19T04:32:57,760,820,60,190.0,740,4.8,18,low
2026-08-19T04:32:57,60,0,0.0,120.0,670,3.0,0,low
